,Estado,Cidade,Vacinados (1 Dose),População vacinada,Imunizados (Dose completas),População imunizada,População restante a vacinar
1434,Paraíba,São Mamede,1027,13.30 %,182,2.36 %,6.697
1435,Paraíba,São Miguel de Taipu,436,5.92 %,155,2.10 %,6.932
1436,Paraíba,São Sebastião de Lagoa de Roça,711,6.10 %,139,1.19 %,10.950
1437,Paraíba,São Sebastião do Umbuzeiro,433,12.41 %,141,4.04 %,3.056
1438,Paraíba,Sapé,3403,6.47 %,550,1.05 %,49.222
1439,Paraíba,São Vicente do Seridó,846,7.85 %,142,1.32 %,9.929
1440,Paraíba,Serra Branca,1395,10.18 %,334,2.44 %,12.304
1441,Paraíba,Serra da Raiz,350,11.12 %,81,2.57 %,2.798
1442,Paraíba,Serra Grande,207,7.12 %,52,1.79 %,2.702
1443,Paraíba,Serra Redonda,663,9.42 %,158,2.24 %,6.378
1444,Paraíba,Serraria,485,7.95 %,104,1.71 %,5.614
1445,Paraíba,Sertãozinho,609,12.12 %,109,2.17 %,4.415
1446,Paraíba,Sobrado,644,8.27 %,80,1.03 %,7.139
1447,Paraíba,Solânea,2768,10.48 %,277,1.05 %,23.639
1448,Paraíba,Soledade,1398,9.33 %,461,3.08 %,13.591
1449,Paraíba,Sossêgo,324,9.11 %,52,1.46 %,3.231
1450,Paraíba,Sousa,6992,10.07 %,1648,2.37 %,62.452
1451,Paraíba,Sumé,1754,10.34 %,611,3.60 %,15.212
1452,Paraíba,Tacima,780,7.15 %,109,1.00 %,10.131
1453,Paraíba,Taperoá,1146,7.45 %,218,1.42 %,14.230
1454,Paraíba,Tavares,1192,8.09 %,438,2.97 %,13.534
1455,Paraíba,Teixeira,1428,9.42 %,279,1.84 %,13.733
1456,Paraíba,Tenório,123,4.02 %,24,0.78 %,2.935
1457,Paraíba,Triunfo,857,9.06 %,171,1.81 %,8.598
1458,Paraíba,Uiraúna,1701,11.16 %,308,2.02 %,13.541
1459,Paraíba,Umbuzeiro,1059,10.69 %,249,2.51 %,8.848
1460,Paraíba,Várzea,399,14.20 %,75,2.67 %,2.411
1461,Paraíba,Vieirópolis,608,11.37 %,85,1.59 %,4.740
1462,Paraíba,Zabelê,273,12.19 %,86,3.84 %,1.967
1463,Pernambuco,Abreu e Lima,2387,2.39 %,385,0.39 %,97.603
1464,Pernambuco,Afogados da Ingazeira,2156,5.79 %,646,1.73 %,35.103
1465,Pernambuco,Afrânio,1519,7.74 %,219,1.12 %,18.116
1466,Pernambuco,Agrestina,880,3.54 %,234,0.94 %,24.005
1467,Pernambuco,Água Preta,852,2.32 %,228,0.62 %,35.919
1468,Pernambuco,Águas Belas,4586,10.56 %,2480,5.71 %,38.857
1469,Pernambuco,Alagoinha,1419,9.70 %,218,1.49 %,13.217
1470,Pernambuco,Aliança,1698,4.42 %,387,1.01 %,36.688
1471,Pernambuco,Altinho,1574,6.85 %,237,1.03 %,21.398
1472,Pernambuco,Amaraji,677,2.97 %,108,0.47 %,22.152
1473,Pernambuco,Angelim,637,5.71 %,79,0.71 %,10.513
1474,Pernambuco,Araçoiaba,393,1.91 %,27,0.13 %,20.131
1475,Pernambuco,Araripina,4654,5.51 %,846,1.00 %,79.764
1476,Pernambuco,Arcoverde,6065,8.16 %,1733,2.33 %,68.273
1477,Pernambuco,Barra de Guabiraba,604,4.20 %,125,0.87 %,13.781
1478,Pernambuco,Barreiros,1121,2.63 %,283,0.66 %,41.538
1479,Pernambuco,Belém de Maria,385,3.19 %,60,0.50 %,11.688
1480,Pernambuco,Belém do São Francisco,1859,8.97 %,454,2.19 %,18.870
1481,Pernambuco,Belo Jardim,2155,2.82 %,574,0.75 %,74.284
1482,Pernambuco,Betânia,824,6.48 %,155,1.22 %,11.895
1483,Pernambuco,Bezerros,3896,6.41 %,917,1.51 %,56.902
1484,Pernambuco,Bodocó,1941,5.09 %,375,0.98 %,36.205
1485,Pernambuco,Bom Conselho,2106,4.34 %,444,0.91 %,46.448
1486,Pernambuco,Bom Jardim,1772,4.52 %,23,0.06 %,37.412
1487,Pernambuco,Bonito,2094,5.49 %,450,1.18 %,36.040
1488,Pernambuco,Brejão,681,7.57 %,112,1.25 %,8.312
1489,Pernambuco,Brejinho,682,9.11 %,95,1.27 %,6.805
1490,Pernambuco,Brejo da Madre de Deus,2725,5.37 %,347,0.68 %,48.017
1491,Pernambuco,Buenos Aires,655,4.98 %,88,0.67 %,12.500
1492,Pernambuco,Buíque,4451,7.62 %,1465,2.51 %,53.927
1493,Pernambuco,Cabo de Santo Agostinho,12059,5.82 %,2898,1.40 %,194.989
1494,Pernambuco,Cabrobó,3630,10.61 %,2149,6.28 %,30.591
1495,Pernambuco,Cachoeirinha,871,4.27 %,188,0.92 %,19.509
1496,Pernambuco,Caetés,1606,5.59 %,177,0.62 %,27.133
1497,Pernambuco,Calçado,697,6.31 %,133,1.20 %,10.356
1498,Pernambuco,Calumbi,562,9.77 %,100,1.74 %,5.188
1499,Pernambuco,Camaragibe,3042,1.93 %,390,0.25 %,154.786
1500,Pernambuco,Camocim de São Félix,758,4.04 %,99,0.53 %,18.007
1501,Pernambuco,Camutanga,339,3.96 %,71,0.83 %,8.212
1502,Pernambuco,Canhotinho,1008,4.06 %,104,0.42 %,23.796
1503,Pernambuco,Capoeiras,1095,5.46 %,215,1.07 %,18.953
1504,Pernambuco,Carnaíba,1051,5.38 %,179,0.92 %,18.500
1505,Pernambuco,Carnaubeira da Penha,4725,36.54 %,4227,32.69 %,8.207
1506,Pernambuco,Carpina,521,0.62 %,349,0.42 %,83.120
1507,Pernambuco,Caruaru,24412,6.76 %,7297,2.02 %,336.706
1508,Pernambuco,Casinhas,615,4.29 %,61,0.43 %,13.726
1509,Pernambuco,Catende,1392,3.25 %,372,0.87 %,41.500
1510,Pernambuco,Cedro,847,7.17 %,185,1.57 %,10.960
1511,Pernambuco,Chã de Alegria,689,5.10 %,164,1.21 %,12.829
1512,Pernambuco,Chã Grande,1243,5.73 %,244,1.12 %,20.455
1513,Pernambuco,Condado,199,0.75 %,1,0.00 %,26.222
1514,Pernambuco,Correntes,594,3.26 %,142,0.78 %,17.613
1515,Pernambuco,Cortês,505,4.01 %,141,1.12 %,12.073
1516,Pernambuco,Cumaru,589,5.40 %,167,1.53 %,10.317
1517,Pernambuco,Cupira,1148,4.76 %,231,0.96 %,22.959
1518,Pernambuco,Custódia,2794,7.53 %,559,1.51 %,34.317
1519,Pernambuco,Dormentes,1233,6.52 %,220,1.16 %,17.675
1520,Pernambuco,Escada,1997,2.90 %,369,0.54 %,66.878
1521,Pernambuco,Exu,2605,8.19 %,332,1.04 %,29.220
1522,Pernambuco,Feira Nova,1252,5.66 %,186,0.84 %,20.879
1523,Pernambuco,Fernando de Noronha,627,20.48 %,195,6.37 %,2.434
1524,Pernambuco,Ferreiros,806,6.65 %,135,1.11 %,11.317
1525,Pernambuco,Flores,2043,9.03 %,185,0.82 %,20.581
1526,Pernambuco,Floresta,791,2.41 %,518,1.58 %,32.082
1527,Pernambuco,Frei Miguelinho,1261,8.16 %,162,1.05 %,14.196
1528,Pernambuco,Gameleira,900,2.90 %,225,0.72 %,30.152
1529,Pernambuco,Garanhuns,7175,5.13 %,2751,1.97 %,132.613
1530,Pernambuco,Glória do Goitá,2080,6.80 %,324,1.06 %,28.524
1531,Pernambuco,Goiana,4466,5.60 %,1065,1.34 %,75.292
1532,Pernambuco,Granito,353,4.72 %,54,0.72 %,7.133
1533,Pernambuco,Gravatá,3723,4.43 %,797,0.95 %,80.351
1534,Pernambuco,Iati,975,5.08 %,196,1.02 %,18.222
1535,Pernambuco,Ibimirim,2669,9.13 %,1530,5.23 %,26.566
1536,Pernambuco,Ibirajuba,546,7.03 %,111,1.43 %,7.216
1537,Pernambuco,Igarassu,5105,4.36 %,1634,1.40 %,111.914
1538,Pernambuco,Iguaracy,942,7.70 %,102,0.83 %,11.286
1539,Pernambuco,Inajá,1189,5.11 %,817,3.51 %,22.058
1540,Pernambuco,Ingazeira,524,11.52 %,79,1.74 %,4.024
1541,Pernambuco,Ipojuca,2858,2.97 %,866,0.90 %,93.346
1542,Pernambuco,Ipubi,1834,5.94 %,378,1.23 %,29.020
1543,Pernambuco,Itacuruba,450,9.15 %,83,1.69 %,4.468
1544,Pernambuco,Itaíba,1729,6.56 %,187,0.71 %,24.620
1545,Pernambuco,Ilha de Itamaracá,280,1.07 %,138,0.53 %,25.978
1546,Pernambuco,Itambé,1749,4.80 %,298,0.82 %,34.698
1547,Pernambuco,Itapetim,1560,11.46 %,224,1.65 %,12.056
1548,Pernambuco,Itapissuma,1328,4.98 %,429,1.61 %,25.323
1549,Pernambuco,Itaquitinga,686,4.05 %,147,0.87 %,16.269
1550,Pernambuco,Jaboatão dos Guararapes,8103,1.15 %,2065,0.29 %,694.195
1551,Pernambuco,Jaqueira,707,6.07 %,180,1.54 %,10.949
1552,Pernambuco,Jataúba,573,3.34 %,155,0.90 %,16.577
1553,Pernambuco,Jatobá,3690,24.94 %,1897,12.82 %,11.106
1554,Pernambuco,João Alfredo,2269,6.71 %,252,0.75 %,31.553
1555,Pernambuco,Joaquim Nabuco,601,3.75 %,109,0.68 %,15.422
1556,Pernambuco,Jucati,619,5.42 %,89,0.78 %,10.805
1557,Pernambuco,Jupi,628,4.23 %,98,0.66 %,14.208
1558,Pernambuco,Jurema,515,3.35 %,121,0.79 %,14.863
1559,Pernambuco,Lagoa do Carro,935,5.17 %,182,1.01 %,17.136
1560,Pernambuco,Lagoa de Itaenga,1170,5.46 %,230,1.07 %,20.259
1561,Pernambuco,Lagoa do Ouro,763,5.80 %,119,0.91 %,12.382
1562,Pernambuco,Lagoa dos Gatos,118,0.72 %,83,0.51 %,16.172
1563,Pernambuco,Lagoa Grande,930,3.63 %,196,0.77 %,24.671
1564,Pernambuco,Lajedo,2379,5.90 %,261,0.65 %,37.909
1565,Pernambuco,Limoeiro,4762,8.47 %,1112,1.98 %,51.488
1566,Pernambuco,Macaparana,1322,5.21 %,190,0.75 %,24.054
1567,Pernambuco,Machados,936,5.82 %,168,1.04 %,15.152
1568,Pernambuco,Manari,677,3.16 %,116,0.54 %,20.757
1569,Pernambuco,Maraial,556,4.90 %,127,1.12 %,10.789
1570,Pernambuco,Mirandiba,1021,6.63 %,158,1.03 %,14.369
1571,Pernambuco,Moreno,3434,5.47 %,625,1.00 %,59.350
1572,Pernambuco,Nazaré da Mata,1608,4.95 %,685,2.11 %,30.863
1573,Pernambuco,Olinda,11148,2.84 %,3096,0.79 %,381.334
1574,Pernambuco,Orobó,1522,6.37 %,206,0.86 %,22.362
1575,Pernambuco,Orocó,1221,8.14 %,289,1.93 %,13.770
1576,Pernambuco,Ouricuri,4028,5.80 %,835,1.20 %,65.431
1577,Pernambuco,Palmares,3244,5.13 %,1110,1.75 %,60.006
1578,Pernambuco,Palmeirina,338,4.39 %,79,1.03 %,7.355
1579,Pernambuco,Panelas,376,1.42 %,143,0.54 %,26.098
1580,Pernambuco,Paranatama,440,3.82 %,89,0.77 %,11.083
1581,Pernambuco,Parnamirim,1303,5.92 %,174,0.79 %,20.707
1582,Pernambuco,Passira,1166,4.03 %,294,1.02 %,27.767
1583,Pernambuco,Paudalho,2566,4.54 %,275,0.49 %,53.940
1584,Pernambuco,Paulista,10965,3.30 %,3136,0.95 %,320.809
1585,Pernambuco,Pedra,523,2.31 %,157,0.69 %,22.094
1586,Pernambuco,Pesqueira,9295,13.79 %,6300,9.35 %,58.100
1587,Pernambuco,Petrolândia,1010,2.76 %,220,0.60 %,35.538
1588,Pernambuco,Petrolina,16837,4.82 %,6399,1.83 %,332.308
1589,Pernambuco,Poção,926,8.19 %,107,0.95 %,10.376
1590,Pernambuco,Pombos,1432,5.29 %,257,0.95 %,25.659
1591,Pernambuco,Primavera,419,2.80 %,105,0.70 %,14.547
1592,Pernambuco,Quipapá,385,1.48 %,40,0.15 %,25.652
1593,Pernambuco,Quixaba,594,8.72 %,42,0.62 %,6.219
1594,Pernambuco,Recife,188648,11.46 %,64326,3.91 %,1.457.079
1595,Pernambuco,Riacho das Almas,1086,5.29 %,230,1.12 %,19.460
1596,Pernambuco,Ribeirão,1833,3.87 %,323,0.68 %,45.582
1597,Pernambuco,Rio Formoso,825,3.51 %,182,0.77 %,22.710
1598,Pernambuco,Sairé,526,5.30 %,91,0.92 %,9.406
1599,Pernambuco,Salgadinho,715,6.55 %,75,0.69 %,10.204
1600,Pernambuco,Salgueiro,7203,11.82 %,2090,3.43 %,53.727
1601,Pernambuco,Saloá,915,5.78 %,148,0.93 %,14.928
1602,Pernambuco,Sanharó,1156,4.37 %,182,0.69 %,25.306
1603,Pernambuco,Santa Cruz,1054,6.85 %,200,1.30 %,14.344
1604,Pernambuco,Santa Cruz da Baixa Verde,919,7.30 %,142,1.13 %,11.673
1605,Pernambuco,Santa Cruz do Capibaribe,3231,2.99 %,644,0.60 %,104.706
1606,Pernambuco,Santa Filomena,661,4.57 %,112,0.77 %,13.816
1607,Pernambuco,Santa Maria da Boa Vista,2528,6.03 %,420,1.00 %,39.403
1608,Pernambuco,Santa Maria do Cambucá,762,5.39 %,83,0.59 %,13.375
1609,Pernambuco,Santa Terezinha,534,4.52 %,69,0.58 %,11.281
1610,Pernambuco,São Benedito do Sul,370,2.33 %,83,0.52 %,15.525
1611,Pernambuco,São Bento do Una,3397,5.71 %,485,0.82 %,56.107
1612,Pernambuco,São Caitano,2744,7.37 %,460,1.24 %,34.501
1613,Pernambuco,São João,1057,4.64 %,133,0.58 %,21.736
1614,Pernambuco,São Joaquim do Monte,1340,6.27 %,99,0.46 %,20.016
1615,Pernambuco,São José da Coroa Grande,1338,6.28 %,170,0.80 %,19.960
1616,Pernambuco,São José do Belmonte,949,2.79 %,364,1.07 %,33.010
1617,Pernambuco,São José do Egito,2989,8.80 %,484,1.43 %,30.962
1618,Pernambuco,São Lourenço da Mata,3480,3.07 %,817,0.72 %,109.750
1619,Pernambuco,São Vicente Ferrer,675,3.75 %,129,0.72 %,17.343
1620,Pernambuco,Serra Talhada,7945,9.20 %,1901,2.20 %,78.405
1621,Pernambuco,Serrita,1112,5.80 %,155,0.81 %,18.053
1622,Pernambuco,Sertânia,1874,5.22 %,184,0.51 %,34.033
1623,Pernambuco,Sirinhaém,1305,2.85 %,299,0.65 %,44.560
1624,Pernambuco,Moreilândia,1015,9.01 %,161,1.43 %,10.255
1625,Pernambuco,Solidão,437,7.27 %,97,1.61 %,5.570
1626,Pernambuco,Surubim,2863,4.40 %,651,1.00 %,62.226
1627,Pernambuco,Tabira,2634,9.23 %,390,1.37 %,25.900
1628,Pernambuco,Tacaimbó,454,3.53 %,168,1.30 %,12.420
1629,Pernambuco,Tacaratu,1815,7.04 %,1117,4.34 %,23.950
1630,Pernambuco,Tamandaré,856,3.66 %,206,0.88 %,22.532
1631,Pernambuco,Taquaritinga do Norte,768,2.67 %,153,0.53 %,28.007
1632,Pernambuco,Terezinha,291,4.06 %,65,0.91 %,6.878
1633,Pernambuco,Terra Nova,757,7.50 %,97,0.96 %,9.339
1634,Pernambuco,Timbaúba,3487,6.58 %,586,1.11 %,49.535
1635,Pernambuco,Toritama,1584,3.50 %,249,0.55 %,43.635
1636,Pernambuco,Tracunhaém,432,3.14 %,111,0.81 %,13.337
1637,Pernambuco,Trindade,1461,4.79 %,327,1.07 %,29.060
1638,Pernambuco,Triunfo,1399,9.17 %,168,1.10 %,13.855
1639,Pernambuco,Tupanatinga,1347,4.93 %,104,0.38 %,25.957
1640,Pernambuco,Tuparetama,498,6.07 %,159,1.94 %,7.704
1641,Pernambuco,Venturosa,661,3.58 %,184,1.00 %,17.821
1642,Pernambuco,Verdejante,584,6.13 %,93,0.98 %,8.950
1643,Pernambuco,Vertente do Lério,555,7.29 %,136,1.79 %,7.063
1644,Pernambuco,Vertentes,1300,6.27 %,176,0.85 %,19.431
1645,Pernambuco,Vicência,1207,3.70 %,359,1.10 %,31.436
1646,Pernambuco,Vitória de Santo Antão,6189,4.46 %,1251,0.90 %,132.568
1647,Pernambuco,Xexéu,439,2.98 %,173,1.17 %,14.286
1648,Alagoas,Água Branca,1494,7.40 %,536,2.65 %,18.702
1649,Alagoas,Anadia,1463,8.34 %,261,1.49 %,16.082
1650,Alagoas,Arapiraca,15056,6.50 %,3183,1.37 %,216.691
1651,Alagoas,Atalaia,1706,3.62 %,262,0.56 %,45.479
1652,Alagoas,Barra de Santo Antônio,566,3.55 %,127,0.80 %,15.366
1653,Alagoas,Barra de São Miguel,319,3.83 %,59,0.71 %,8.003
1654,Alagoas,Batalha,1087,5.96 %,157,0.86 %,17.145
1655,Alagoas,Belém,525,12.09 %,89,2.05 %,3.819
1656,Alagoas,Belo Monte,556,8.29 %,87,1.30 %,6.148
1657,Alagoas,Boca da Mata,1751,6.42 %,322,1.18 %,25.530
1658,Alagoas,Branquinha,619,5.90 %,81,0.77 %,9.875
1659,Alagoas,Cacimbinhas,1002,9.23 %,128,1.18 %,9.856
1660,Alagoas,Cajueiro,1123,5.28 %,198,0.93 %,20.141
1661,Alagoas,Campestre,350,5.05 %,90,1.30 %,6.586
1662,Alagoas,Campo Alegre,1737,3.04 %,403,0.71 %,55.326
1663,Alagoas,Campo Grande,550,5.75 %,99,1.04 %,9.008
1664,Alagoas,Canapi,1072,6.05 %,123,0.69 %,16.650
1665,Alagoas,Capela,1189,6.97 %,162,0.95 %,15.864
1666,Alagoas,Carneiros,618,6.81 %,72,0.79 %,8.463
1667,Alagoas,Chã Preta,489,6.69 %,55,0.75 %,6.822
1668,Alagoas,Coité do Nóia,1167,10.91 %,91,0.85 %,9.526
1669,Alagoas,Colônia Leopoldina,938,4.32 %,133,0.61 %,20.760
1670,Alagoas,Coqueiro Seco,420,7.19 %,81,1.39 %,5.425
1671,Alagoas,Coruripe,2257,3.96 %,574,1.01 %,54.676
1672,Alagoas,Craíbas,1187,4.90 %,174,0.72 %,23.032
1673,Alagoas,Delmiro Gouveia,3627,6.97 %,563,1.08 %,48.389
1674,Alagoas,Dois Riachos,771,6.96 %,60,0.54 %,10.304
1675,Alagoas,Estrela de Alagoas,1268,6.97 %,120,0.66 %,16.937
1676,Alagoas,Feira Grande,2153,9.71 %,444,2.00 %,20.013
1677,Alagoas,Feliz Deserto,401,8.44 %,72,1.51 %,4.353
1678,Alagoas,Flexeiras,778,6.08 %,132,1.03 %,12.012
1679,Alagoas,Girau do Ponciano,2194,5.36 %,233,0.57 %,38.723
1680,Alagoas,Ibateguara,885,5.67 %,146,0.93 %,14.731
1681,Alagoas,Igaci,1542,6.02 %,206,0.80 %,24.089
1682,Alagoas,Igreja Nova,1296,5.29 %,168,0.69 %,23.203
1683,Alagoas,Inhapi,1137,6.18 %,444,2.42 %,17.248
1684,Alagoas,Jacaré dos Homens,493,9.39 %,75,1.43 %,4.760
1685,Alagoas,Jacuípe,293,4.17 %,69,0.98 %,6.728
1686,Alagoas,Japaratinga,378,4.52 %,55,0.66 %,7.983
1687,Alagoas,Jaramataia,195,3.38 %,48,0.83 %,5.575
1688,Alagoas,Jequiá da Praia,750,6.48 %,105,0.91 %,10.830
1689,Alagoas,Joaquim Gomes,1585,6.61 %,982,4.09 %,22.408
1690,Alagoas,Jundiá,298,7.17 %,46,1.11 %,3.857
1691,Alagoas,Junqueiro,1426,5.77 %,201,0.81 %,23.301
1692,Alagoas,Lagoa da Canoa,1368,7.66 %,206,1.15 %,16.484
1693,Alagoas,Limoeiro de Anadia,2185,7.63 %,320,1.12 %,26.450
1694,Alagoas,Maceió,87157,8.55 %,25944,2.55 %,931.791
1695,Alagoas,Major Isidoro,1084,5.47 %,119,0.60 %,18.720
1696,Alagoas,Maragogi,1363,4.17 %,321,0.98 %,31.341
1697,Alagoas,Maravilha,771,8.41 %,62,0.68 %,8.392
1698,Alagoas,Marechal Deodoro,2320,4.47 %,720,1.39 %,49.581
1699,Alagoas,Maribondo,1181,8.90 %,149,1.12 %,12.083
1700,Alagoas,Mar Vermelho,378,10.76 %,81,2.31 %,3.136
1701,Alagoas,Mata Grande,1264,5.01 %,158,0.63 %,23.952
1702,Alagoas,Matriz de Camaragibe,1149,4.66 %,189,0.77 %,23.493
1703,Alagoas,Messias,760,4.26 %,183,1.02 %,17.096
1704,Alagoas,Minador do Negrão,308,5.78 %,83,1.56 %,5.021
1705,Alagoas,Monteirópolis,460,6.43 %,100,1.40 %,6.699
1706,Alagoas,Murici,1400,4.96 %,347,1.23 %,26.836
1707,Alagoas,Novo Lino,548,4.32 %,79,0.62 %,12.142
1708,Alagoas,Olho d'Água das Flores,1425,6.57 %,252,1.16 %,20.263
1709,Alagoas,Olho d'Água do Casado,454,4.84 %,72,0.77 %,8.919
1710,Alagoas,Olho d'Água Grande,277,5.41 %,61,1.19 %,4.846
1711,Alagoas,Olivença,936,8.05 %,82,0.71 %,10.688
1712,Alagoas,Ouro Branco,1101,9.58 %,135,1.17 %,10.395
1713,Alagoas,Palestina,197,3.93 %,54,1.08 %,4.814
1714,Alagoas,Palmeira dos Índios,7048,9.63 %,2269,3.10 %,66.170
1715,Alagoas,Pão de Açúcar,1182,4.84 %,196,0.80 %,23.217
1716,Alagoas,Pariconha,2936,27.87 %,2042,19.39 %,7.597
1717,Alagoas,Paripueira,636,4.83 %,90,0.68 %,12.540
1718,Alagoas,Passo de Camaragibe,528,3.46 %,112,0.73 %,14.717
1719,Alagoas,Paulo Jacinto,692,9.15 %,120,1.59 %,6.872
1720,Alagoas,Penedo,5330,8.37 %,1144,1.80 %,58.353
1721,Alagoas,Piaçabuçu,938,5.26 %,152,0.85 %,16.889
1722,Alagoas,Pilar,2421,6.90 %,401,1.14 %,32.690
1723,Alagoas,Pindoba,208,7.15 %,71,2.44 %,2.700
1724,Alagoas,Piranhas,1194,4.77 %,312,1.25 %,23.845
1725,Alagoas,Poço das Trincheiras,559,3.89 %,36,0.25 %,13.827
1726,Alagoas,Porto Calvo,1802,6.63 %,163,0.60 %,25.363
1727,Alagoas,Porto de Pedras,308,3.96 %,51,0.66 %,7.478
1728,Alagoas,Porto Real do Colégio,2542,12.67 %,1154,5.75 %,17.524
1729,Alagoas,Quebrangulo,877,7.77 %,160,1.42 %,10.417
1730,Alagoas,Rio Largo,4333,5.77 %,819,1.09 %,70.787
1731,Alagoas,Roteiro,374,5.61 %,74,1.11 %,6.290
1732,Alagoas,Santa Luzia do Norte,618,8.47 %,103,1.41 %,6.678
1733,Alagoas,Santana do Ipanema,3024,6.35 %,1016,2.13 %,44.630
1734,Alagoas,Santana do Mundaú,794,7.39 %,128,1.19 %,9.946
1735,Alagoas,São Brás,481,6.91 %,59,0.85 %,6.480
1736,Alagoas,São José da Laje,1336,5.58 %,212,0.89 %,22.591
1737,Alagoas,São José da Tapera,1578,4.89 %,247,0.77 %,30.682
1738,Alagoas,São Luís do Quitunde,967,2.80 %,206,0.60 %,33.588
1739,Alagoas,São Miguel dos Campos,2774,4.53 %,836,1.36 %,58.477
1740,Alagoas,São Miguel dos Milagres,465,5.85 %,70,0.88 %,7.486
1741,Alagoas,São Sebastião,2605,7.63 %,954,2.79 %,31.547
1742,Alagoas,Satuba,655,4.74 %,107,0.77 %,13.173
1743,Alagoas,Senador Rui Palmeira,639,4.61 %,84,0.61 %,13.231
1744,Alagoas,Tanque d'Arca,522,8.47 %,80,1.30 %,5.640
1745,Alagoas,Taquarana,1406,7.04 %,199,1.00 %,18.574
1746,Alagoas,Teotônio Vilela,1907,4.32 %,374,0.85 %,42.262
1747,Alagoas,Traipu,1299,4.69 %,327,1.18 %,26.416
1748,Alagoas,União dos Palmares,4174,6.36 %,763,1.16 %,61.437
1749,Alagoas,Viçosa,1847,7.18 %,388,1.51 %,23.886
1750,Sergipe,Amparo de São Francisco,148,6.23 %,51,2.15 %,2.226
1751,Sergipe,Aquidabã,709,3.29 %,299,1.39 %,20.854
1752,Sergipe,Aracaju,51993,7.91 %,10010,1.52 %,605.020
1753,Sergipe,Arauá,313,3.11 %,117,1.16 %,9.743
1754,Sergipe,Areia Branca,992,5.35 %,275,1.48 %,17.550
1755,Sergipe,Barra dos Coqueiros,1643,5.40 %,303,1.00 %,28.764
1756,Sergipe,Boquim,1157,4.31 %,240,0.89 %,25.659
1757,Sergipe,Brejo Grande,132,1.59 %,65,0.78 %,8.177
1758,Sergipe,Campo do Brito,1199,6.62 %,511,2.82 %,16.910
1759,Sergipe,Canhoba,240,5.99 %,65,1.62 %,3.768
1760,Sergipe,Canindé de São Francisco,672,2.25 %,211,0.71 %,29.228
1761,Sergipe,Capela,444,1.30 %,180,0.53 %,33.769
1762,Sergipe,Carira,1547,7.01 %,625,2.83 %,20.535
1763,Sergipe,Carmópolis,121,0.73 %,0,0.00 %,16.513
1764,Sergipe,Cedro de São João,518,8.78 %,122,2.07 %,5.379
1765,Sergipe,Cristinápolis,320,1.79 %,185,1.04 %,17.554
1766,Sergipe,Cumbe,329,8.25 %,100,2.51 %,3.658
1767,Sergipe,Divina Pastora,398,7.75 %,141,2.74 %,4.740
1768,Sergipe,Estância,2680,3.87 %,859,1.24 %,66.504
1769,Sergipe,Feira Nova,302,5.41 %,117,2.10 %,5.282
1770,Sergipe,Frei Paulo,1121,7.27 %,354,2.30 %,14.300
1771,Sergipe,Gararu,380,3.27 %,192,1.65 %,11.224
1772,Sergipe,General Maynard,237,7.08 %,113,3.38 %,3.109
1773,Sergipe,Gracho Cardoso,266,4.57 %,94,1.62 %,5.552
1774,Sergipe,Ilha das Flores,438,5.14 %,118,1.38 %,8.082
1775,Sergipe,Indiaroba,693,3.86 %,208,1.16 %,17.264
1776,Sergipe,Itabaiana,5784,6.06 %,1300,1.36 %,89.643
1777,Sergipe,Itabaianinha,2154,5.14 %,363,0.87 %,39.774
1778,Sergipe,Itabi,416,8.48 %,114,2.33 %,4.487
1779,Sergipe,Itaporanga d'Ajuda,1326,3.86 %,339,0.99 %,33.030
1780,Sergipe,Japaratuba,540,2.88 %,232,1.24 %,18.203
1781,Sergipe,Japoatã,450,3.35 %,160,1.19 %,12.984
1782,Sergipe,Lagarto,663,0.64 %,0,0.00 %,103.745
1783,Sergipe,Laranjeiras,444,1.49 %,182,0.61 %,29.382
1784,Sergipe,Macambira,548,7.92 %,239,3.45 %,6.371
1785,Sergipe,Malhada dos Bois,180,4.89 %,69,1.87 %,3.502
1786,Sergipe,Malhador,703,5.57 %,269,2.13 %,11.915
1787,Sergipe,Maruim,346,2.01 %,219,1.27 %,16.867
1788,Sergipe,Moita Bonita,650,5.73 %,122,1.08 %,10.685
1789,Sergipe,Monte Alegre de Sergipe,629,4.18 %,308,2.05 %,14.402
1790,Sergipe,Muribeca,484,6.35 %,135,1.77 %,7.141
1791,Sergipe,Neópolis,939,5.02 %,311,1.66 %,17.780
1792,Sergipe,Nossa Senhora Aparecida,272,3.09 %,116,1.32 %,8.524
1793,Sergipe,Nossa Senhora da Glória,1052,2.85 %,403,1.09 %,35.872
1794,Sergipe,Nossa Senhora das Dores,1484,5.57 %,751,2.82 %,25.145
1795,Sergipe,Nossa Senhora de Lourdes,442,6.82 %,154,2.38 %,6.041
1796,Sergipe,Nossa Senhora do Socorro,5834,3.18 %,1569,0.85 %,177.794
1797,Sergipe,Pacatuba,776,5.38 %,167,1.16 %,13.652
1798,Sergipe,Pedra Mole,179,5.49 %,108,3.31 %,3.082
1799,Sergipe,Pedrinhas,289,3.01 %,103,1.07 %,9.313
1800,Sergipe,Pinhão,477,7.25 %,194,2.95 %,6.099
1801,Sergipe,Pirambu,365,3.93 %,220,2.37 %,8.915
1802,Sergipe,Poço Redondo,1455,4.18 %,438,1.26 %,33.320
1803,Sergipe,Poço Verde,1321,5.57 %,246,1.04 %,22.407
1804,Sergipe,Porto da Folha,1634,5.71 %,790,2.76 %,26.962
